"sentence","positive","negative","neutral","sentiment","target","assessment"
"The treatment worked like a charm, I am so haapy with the experience.","0.99","0.01","0.0","positive","treatment","charm"
"The people at the reception were arrogant and were not paying attention to whatever I was saying.","0.0","1.0","0.0","negative","people","arrogant"
"The people at the reception were arrogant and were not paying attention to whatever I was saying.","0.04","0.96","0.0","negative","people","paying attention"
"The people at payment desk were not transparent about the bills of medicine.","0.02","0.98","0.0","negative","people","transparent"
"The treatment was so expensive but did not gave satisfactory results.","0.03","0.97","0.0","negative","treatment","expensive"
"Very professional staff and provided a great service. ","1.0","0.0","0.0","positive","staff","professional"
"Very professional staff and provided a great service. ","1.0","0.0","0.0","positive","service","great"
"Place was extremely clean and equipment seemed very up to date","1.0","0.0","0.0","positive","Place","clean"
"Place was extremely clean and equipment seemed very up to date","1.0","0.0","0.0","positive","equipment","up to date"
"This place should shut down, extremely poor service.","0.0","1.0","0.0","negative","service","poor"
"The doctor's behaviour was decent.","1.0","0.0","0.0","mixed","doctor's behaviour","decent"
"Very nice doctor and she took the time to listen to all of my concerns!","1.0","0.0","0.0","positive","doctor","nice"
"Getting the appointment was very hectic, they should start taking appointments online.","0.03","0.97","0.0","negative","appointment","hectic"
"The experience was okay, not good and not bad.","0.97","0.03","0.0","mixed","experience","okay"
"The experience was okay, not good and not bad.","0.0","1.0","0.0","negative","experience","good"
"The experience was okay, not good and not bad.","0.97","0.03","0.0","positive","experience","bad"
"Usually go to Dr Lee and she’s amazing. ","1.0","0.0","0.0","positive","Dr Lee","amazing"
"Both the technician and Dr. Lee were very friendly and professional. ","1.0","0.0","0.0","positive","technician","friendly"
"Both the technician and Dr. Lee were very friendly and professional. ","1.0","0.0","0.0","positive","technician","professional"
"Both the technician and Dr. Lee were very friendly and professional. ","1.0","0.0","0.0","positive","Dr. Lee","friendly"
"Both the technician and Dr. Lee were very friendly and professional. ","1.0","0.0","0.0","positive","Dr. Lee","professional"
"Dr. Tregubov is a great doctor. ","1.0","0.0","0.0","positive","doctor","great"
"Dr. Tregubov is a great doctor. ","1.0","0.0","0.0","positive","Dr. Tregubov","great"
